Wind power [kW];Nuclear power plant [kW];Demand [kWh];Total power supply [Kw];Supply - Demand;;;;;
2301,383;1432258,06;1557169;1434559,443;-122609,557;;;;;
2159,89;1432258,06;1452066;1434417,95;-17648,05;;;;;
1988,881;1410483,87;1383118;1412472,751;29354,751;;;;;
1816,945;1410483,87;1342834;1412300,815;69466,815;;;;;
1568,234;1410483,87;1321823;1412052,104;90229,104;;;;;
1358,647;1410483,87;1312003;1411842,517;99839,517;;;;;
1227,981;1410483,87;1315190;1411711,851;96521,851;;;;;
1091,819;1410483,87;1353919;1411575,689;57656,689;;;;;
960,004;1410483,87;1450190;1411443,874;-38746,126;;;;;
814,717;1410483,87;1550597;1411298,587;-139298,413;;;;;
659,654;1410483,87;1556217;1411143,524;-145073,476;;;;;
518,202;1410483,87;1540017;1411002,072;-129014,928;;;;;
442,41;1410483,87;1537435;1410926,28;-126508,72;;;;;
456,477;1410483,87;1544492;1410940,347;-133551,653;;;;;
414,458;1410483,87;1543175;1410898,328;-132276,672;;;;;
461,685;1410483,87;1518936;1410945,555;-107990,445;;;;;
547,639;1410483,87;1513168;1411031,509;-102136,491;;;;;
463,027;1410483,87;1548507;1410946,897;-137560,103;;;;;
306,168;1410483,87;1674123;1410790,038;-263332,962;;;;;
171,215;1410483,87;1757773;1410655,085;-347117,915;;;;;
58,986;1410483,87;1727993;1410542,856;-317450,144;;;;;
20,739;1410483,87;1651752;1410504,609;-241247,391;;;;;
73,719;1410483,87;1558674;1410557,589;-148116,411;;;;;
154,189;1410483,87;1462902;1410638,059;-52263,941;;;;;
153,46;1410483,87;1353807;1410637,33;56830,33;;;;;
128,241;1410483,87;1242705;1410612,111;167907,111;;;;;
117,094;1373387,1;1177262;1373504,194;196242,194;;;;;
116,648;1373387,1;1137798;1373503,748;235705,748;;;;;
167,376;1373387,1;1120283;1373554,476;253271,476;;;;;
268,912;1373387,1;1111212;1373656,012;262444,012;;;;;
304,731;1373387,1;1113615;1373691,831;260076,831;;;;;
268,868;1373387,1;1147527;1373655,968;226128,968;;;;;
367,787;1373387,1;1232766;1373754,887;140988,887;;;;;
506,59;1373387,1;1320432;1373893,69;53461,69;;;;;
621,439;1373387,1;1334804;1374008,539;39204,539;;;;;
690,959;1373387,1;1318318;1374078,059;55760,059;;;;;
740,977;1373387,1;1313882;1374128,077;60246,077;;;;;
814,923;1373387,1;1322169;1374202,023;52033,023;;;;;
893,599;1373387,1;1328050;1374280,699;46230,699;;;;;
892,62;1373387,1;1304866;1374279,72;69413,72;;;;;
827,113;1373387,1;1304613;1374214,213;69601,213;;;;;
584,599;1373387,1;1352000;1373971,699;21971,699;;;;;
357,7;1373387,1;1496951;1373744,8;-123206,2;;;;;
535,904;1373387,1;1602675;1373923,004;-228751,996;;;;;
867,637;1373387,1;1592523;1374254,737;-218268,263;;;;;
1138,503;1373387,1;1538032;1374525,603;-163506,397;;;;;
1578,308;1373387,1;1460815;1374965,408;-85849,592;;;;;
2088,67;1373387,1;1378818;1375475,77;-3342,23;;;;;
2552,791;1373387,1;1282670;1375939,891;93269,891;;;;;
2850,929;1373387,1;1178135;1376238,029;198103,029;;;;;
2855,533;1376612,9;1115064;1379468,433;264404,433;;;;;
2812,461;1376612,9;1075380;1379425,361;304045,361;;;;;
2747,811;1376612,9;1056696;1379360,711;322664,711;;;;;
2695,429;1376612,9;1051199;1379308,329;328109,329;;;;;
2689,06;1376612,9;1056673;1379301,96;322628,96;;;;;
2723,95;1376612,9;1090868;1379336,85;288468,85;;;;;
2737,441;1376612,9;1177005;1379350,341;202345,341;;;;;
2732,894;1376612,9;1280063;1379345,794;99282,794;;;;;
2660,662;1376612,9;1302351;1379273,562;76922,562;;;;;
2588,655;1376612,9;1306820;1379201,555;72381,555;;;;;
2887,312;1376612,9;1313851;1379500,212;65649,212;;;;;
3045,607;1376612,9;1312329;1379658,507;67329,507;;;;;
3059,337;1376612,9;1309172;1379672,237;70500,237;;;;;
3011,713;1376612,9;1280099;1379624,613;99525,613;;;;;
2989,835;1376612,9;1295127;1379602,735;84475,735;;;;;
3051,675;1376612,9;1361667;1379664,575;17997,575;;;;;
3100,835;1376612,9;1537917;1379713,735;-158203,265;;;;;
3133,573;1376612,9;1681624;1379746,473;-301877,527;;;;;
3149,107;1376612,9;1692867;1379762,007;-313104,993;;;;;
3158,001;1376612,9;1635461;1379770,901;-255690,099;;;;;
3151,703;1376612,9;1560045;1379764,603;-180280,397;;;;;
3130,742;1376612,9;1505977;1379743,642;-126233,358;;;;;
3115,84;1376612,9;1458668;1379728,74;-78939,26;;;;;
3115,752;1376612,9;1407478;1379728,652;-27749,348;;;;;
3117,825;1394354,84;1367949;1397472,665;29523,665;;;;;
3113,31;1394354,84;1346320;1397468,15;51148,15;;;;;
3093,845;1394354,84;1344324;1397448,685;53124,685;;;;;
3051,628;1394354,84;1355162;1397406,468;42244,468;;;;;
2991,301;1394354,84;1377150;1397346,141;20196,141;;;;;
2876,92;1394354,84;1409199;1397231,76;-11967,24;;;;;
2628,638;1394354,84;1452586;1396983,478;-55602,522;;;;;
2337,137;1394354,84;1520754;1396691,977;-124062,023;;;;;
2027,282;1394354,84;1596868;1396382,122;-200485,878;;;;;
1630,619;1394354,84;1657004;1395985,459;-261018,541;;;;;
1250,984;1394354,84;1660132;1395605,824;-264526,176;;;;;
885,04;1394354,84;1638853;1395239,88;-243613,12;;;;;
691,312;1394354,84;1602669;1395046,152;-207622,848;;;;;
601,787;1394354,84;1569538;1394956,627;-174581,373;;;;;
538,922;1394354,84;1554951;1394893,762;-160057,238;;;;;
413,075;1394354,84;1586020;1394767,915;-191252,085;;;;;
292,593;1394354,84;1735414;1394647,433;-340766,567;;;;;
176,308;1394354,84;1828298;1394531,148;-433766,852;;;;;
103,548;1394354,84;1802875;1394458,388;-408416,612;;;;;
162,595;1394354,84;1708927;1394517,435;-314409,565;;;;;
376,834;1394354,84;1611105;1394731,674;-216373,326;;;;;
587,395;1394354,84;1529106;1394942,235;-134163,765;;;;;
702,364;1394354,84;1450461;1395057,204;-55403,796;;;;;
